unit_id,plant_id,unit_name,plant_name,operating_status,primary_fuel,technology,capacity,capacity_rating,admin_0,admin_1,latitude,longitude,location_accuracy,secondary_fuel,tertiary_fuel,quaternary_fuel,quinary_fuel,start_date,retired_date,planned_retire_date,is_captive,captive_use,captive_sector,has_ccs,constructed_before,constructed_after,construction_date,river,operating_status_detail
TZPWR2403000054354U003,TZPWR2403000054354,Chashma nuclear power plant - 4,Chashma nuclear power plant,operating,uranium,pressurized-water-reactor,340,MW,PAK,PAK-PB,32.392,71.4616,exact,NA,NA,NA,NA,01/01/2017,,,FALSE,,,FALSE,,,,,operating
TZPWR2403000054354U004,TZPWR2403000054354,Chashma nuclear power plant - 5,Chashma nuclear power plant,committed,uranium,pressurized-water-reactor,1200,MW,PAK,PAK-PB,32.392,71.4616,exact,NA,NA,NA,NA,,,,FALSE,,,FALSE,,,,,pre_construction
TZPWR2403000054355U000,TZPWR2403000054355,Chaubara solar farm,Chaubara solar farm,operating,NA,photovoltaic-unspecified,100,MWp/dc,PAK,PAK-PB,30.8999,71.5605,exact,NA,NA,NA,NA,01/01/2022,,,FALSE,,,FALSE,,,,,operating
TZPWR2403000054356U000,TZPWR2403000054356,China Sunec wind farm,China Sunec wind farm,inactive,NA,wind-onshore,50,MW,PAK,PAK-SD,25.103,67.8266,exact,NA,NA,NA,NA,,,,FALSE,,,FALSE,,,,,cancelled
TZPWR2403000054357U000,TZPWR2403000054357,China Three Gorges First wind farm - 1,China Three Gorges First wind farm,operating,NA,wind-onshore,50,MW,PAK,PAK-SD,25.0801,67.9414,exact,NA,NA,NA,NA,01/01/2014,,,FALSE,,,FALSE,,,,,operating
TZPWR2403000054358U000,TZPWR2403000054358,China Three Gorges Second wind farm - 2,China Three Gorges Second wind farm,operating,NA,wind-onshore,50,MW,PAK,PAK-SD,25.1177,67.9175,exact,NA,NA,NA,NA,01/01/2018,,,FALSE,,,FALSE,,,,,operating
TZPWR2403000054359U000,TZPWR2403000054359,China Three Gorges Third wind farm - 3,China Three Gorges Third wind farm,operating,NA,wind-onshore,50,MW,PAK,PAK-SD,25.1286,67.9232,exact,NA,NA,NA,NA,01/01/2018,,,FALSE,,,FALSE,,,,,operating
TZPWR2403000054360U000,TZPWR2403000054360,Chiniot power station - 1,Chiniot power station,operating,agricultural-waste-solids,biomass,30,MW,PAK,PAK-PB,31.6116,72.7607,exact,NA,NA,NA,NA,01/01/2015,,,FALSE,,,FALSE,,,,,operating
TZPWR2403000054360U001,TZPWR2403000054360,Chiniot power station - 2,Chiniot power station,operating,agricultural-waste-solids,biomass,30,MW,PAK,PAK-PB,31.6116,72.7607,exact,NA,NA,NA,NA,01/01/2015,,,FALSE,,,FALSE,,,,,operating
TZPWR2403000054361U000,TZPWR2403000054361,Chishtian solar farm,Chishtian solar farm,committed,NA,photovoltaic-unspecified,100,MW,PAK,PAK-PB,29.746,72.8315,approximate,NA,NA,NA,NA,01/01/2024,,,FALSE,,,FALSE,,,,,pre_construction
TZPWR2403000054362U000,TZPWR2403000054362,Cholistan solar farm,Cholistan solar farm,inactive,NA,photovoltaic-unspecified,50,MW,PAK,PAK-PB,29.3148,71.8301,approximate,NA,NA,NA,NA,,,,FALSE,,,FALSE,,,,,shelved
TZPWR2403000054363U000,TZPWR2403000054363,Dadu solar farm (Pakistan) - 1,Dadu solar farm (Pakistan),planned,NA,photovoltaic-unspecified,20,MW,PAK,PAK-SD,26.6749,67.9868,approximate,NA,NA,NA,NA,,,,FALSE,,,FALSE,,,,,announced
TZPWR2403000054363U001,TZPWR2403000054363,Dadu solar farm (Pakistan) - 2,Dadu solar farm (Pakistan),planned,NA,photovoltaic-unspecified,20,MW,PAK,PAK-SD,26.6749,67.9868,approximate,NA,NA,NA,NA,,,,FALSE,,,FALSE,,,,,announced
TZPWR2403000054364U000,TZPWR2403000054364,Daraband power station - 1,Daraband power station,inactive,natural-gas,combined-cycle,225,MW,PAK,PAK-NW,31.74401954,70.33478251,approximate,NA,NA,NA,NA,,,,FALSE,,,FALSE,,,,,cancelled
TZPWR2403000054365U000,TZPWR2403000054365,Dasu hydroelectric plant,Dasu hydroelectric plant,committed,water,hydro-run-of-river,4320,MW,PAK,PAK-NW,35.3185,73.1948,exact,NA,NA,NA,NA,01/01/2023,,,FALSE,,,FALSE,,,,Indus River,under_construction
TZPWR2403000054366U000,TZPWR2403000054366,Dera Ghazi Khan Cement power station - --,Dera Ghazi Khan Cement power station,operating,coal-unspecified,unspecified-cofiring,30,MW,PAK,PAK-PB,30.33167,70.5394,exact,municipal-and-industrial-wastes,NA,NA,NA,01/01/2016,,,TRUE,industrial,cement/building,FALSE,,,,,operating
TZPWR2403000054367U000,TZPWR2403000054367,Diamer Basha hydroelectric plant,Diamer Basha hydroelectric plant,committed,water,hydro-reservoir,4500,MW,PAK,PAK-NA,35.5223,73.743,exact,NA,NA,NA,NA,01/01/2029,,,FALSE,,,FALSE,,,,Indus River,under_construction
TZPWR2403000054368U000,TZPWR2403000054368,Din Energy wind farm,Din Energy wind farm,operating,NA,wind-onshore,50,MW,PAK,PAK-SD,25.0857,67.7793,approximate,NA,NA,NA,NA,01/01/2022,,,FALSE,,,FALSE,,,,,operating
TZPWR2403000054369U000,TZPWR2403000054369,Din Garh solar farm,Din Garh solar farm,inactive,NA,photovoltaic-unspecified,50,MWp/dc,PAK,PAK-PB,29.115,72.265,approximate,NA,NA,NA,NA,,,,FALSE,,,FALSE,,,,,cancelled
TZPWR2403000054370U000,TZPWR2403000054370,Duber Khwar hydroelectric plant,Duber Khwar hydroelectric plant,operating,water,hydro-reservoir,130,MW,PAK,PAK-NW,35.1195,72.9276,exact,NA,NA,NA,NA,01/01/2013,,,FALSE,,,FALSE,,,,Duber Khwar River,operating
